symbol,cashChange,cashFlow,costOfRevenue,currentAssets,currentCash,currentDebt,grossProfit,netIncome,operatingExpense,operatingGainsLosses,operatingIncome,operatingRevenue,reportDate,researchAndDevelopment,shareholderEquity,totalAssets,totalCash,totalDebt,totalLiabilities,totalRevenue
AAON,-8589000,7946000,80174000,144696000,7265000,,32763000,14085000,13221000,-33000,19542000,100963000,2018-09-30,,249629000,314024000.0,10677000,,64395000,112937000
AAON,7681000,25502000,82003000,154665000,15854000,,27585000,11691000,12976000,8000,14609000,98708000,2018-06-30,,238437000,320271000.0,24329000,,81834000,109588000
AAON,-13284000,10744000,83692000,154687000,8173000,,15390000,4260000,10230000,-4000,5160000,89696000,2018-03-31,,239611000,306945000.0,23115000,,67334000,99082000
AAON,-2058000,16129000,73085000,153727000,21457000,,31075000,15770000,13715000,5000,17360000,128799000,2017-12-31,,237226000,296780000.0,30414000,,59554000,104160000
AAP,66670000,237535000,1268055000,6024283000,970006000,,1006927000,115843000,852686000,1510000,154241000,2274982000,2018-09-30,,3659636000,8972353000.0,970006000,,5312717000,2274982000
AAP,264222000,289998000,1315093000,5877816000,902249000,,1011559000,117836000,844018000,1549000,167541000,2326652000,2018-06-30,,3657949000,8835556000.0,902249000,,5177607000,2326652000
AAP,93269000,153970000,1601564000,5617516000,639143000,,1272284000,136727000,1074043000,3208000,198241000,2873848000,2018-04-30,,3546621000,8614953000.0,639143000,,5068332000,2873848000
AAP,93269000,153970000,1601564000,5617516000,639143000,,1272284000,136727000,1074043000,3208000,198241000,2873848000,2018-03-31,,3546621000,8614953000.0,639143000,,5068332000,2873848000
AAPL,-6058000000,19523000000,38816000000,131339000000,25913000000,20748000000,24084000000,14125000000,7966000000,,16118000000,62900000000,2018-09-30,3750000000,107147000000,365725000000.0,66301000000,114483000000,258578000000,62900000000
AAPL,-13088000000,14488000000,32844000000,115761000000,31971000000,17472000000,20421000000,11519000000,7809000000,,12612000000,53265000000,2018-06-30,3701000000,114949000000,349197000000.0,70970000000,114600000000,234248000000,53265000000
AAPL,17568000000,15130000000,37715000000,130053000000,45059000000,20478000000,23422000000,13822000000,7528000000,,15894000000,61137000000,2018-03-31,3378000000,126878000000,367502000000.0,87940000000,121840000000,240624000000,61137000000
AAPL,7202000000,28293000000,54381000000,143810000000,27491000000,18478000000,33912000000,20065000000,7638000000,,26274000000,88293000000,2017-12-31,3407000000,140199000000,406794000000.0,77153000000,122400000000,266595000000,88293000000
AAT,5427000,36596000,30170000,74483000,66138000,,52337000,10394000,25062000,,27275000,78079000,2018-09-30,,812419000,2196776000.0,56220000,,1381285000,82507000
AAT,-4514000,38345000,29510000,67829000,60711000,,55513000,3072000,38264000,,17249000,76892000,2018-06-30,,813797000,2186040000.0,51326000,,1368405000,85023000
AAT,-26729000,43972000,28966000,74022000,65225000,,51766000,-453000,38846000,,12920000,76201000,2018-03-31,,823040000,2213566000.0,55336000,,1384233000,80732000
AAT,-12377000,20198000,31825000,101823000,91954000,,49921000,7077000,26129000,,23792000,77703000,2017-12-31,,833710000,2259864000.0,82610000,,1415720000,81746000
AAU,-2831132.16648,-572850.43962,,6921821.8527,6672005.32642,,,-488514.07974,655935.78926,,-655935.78926,,2018-09-30,,55705638.11502,57583794.65182,6672005.32642,,1878156.5368,
AAU,3682.729142,-169010.473061,,9586357.095146,9344399.963615,,,-894196.018345,1099247.453929,,-1099247.453929,,2018-06-30,,55278833.920065,57359804.247995,9344399.963615,,2080970.32793,
AAU,-3147286.8565,-460544.8075,,9866850.4055,9503809.7265,,,-683434.29,897197.839,,-897197.839,,2018-03-31,,49691837.1285,51492713.8225,9503809.7265,,1800876.694,
AAU,-656066.93605,-598037.01979,,13282119.70949,12988731.40078,,,-1153005.24687,1333017.42181,,-1333017.42181,,2017-12-31,,51471602.98821,53119897.36332,12988731.40078,,1648294.37511,
AAWW,-1774000,88212000,555054000,600647000,226155000,256184000,101553000,71131000,47083000,,54470000,655839000,2018-09-30,,1851785000,5477039000.0,233472000,2536974000,3625254000,656607000
AAWW,97525000,106786000,548491000,565191000,227929000,245322000,117654000,-21150000,47334000,,70320000,664531000,2018-06-30,,1776073000,5348343000.0,234280000,2501488000,3572270000,666145000
AAWW,-161460000,69125000,498924000,433193000,130404000,223308000,91090000,9612000,50521000,,40569000,590014000,2018-03-31,,1792299000,5016832000.0,136421000,2270870000,3224533000,590014000
AAWW,115584000,136613000,474565000,587586000,291864000,218013000,153387000,209448000,46628000,-95000.0,106759000,639056000,2017-12-31,,1789856000,4955462000.0,294413000,2226999000,3165606000,627952000
AAXN,16714000,16530000,39203000,524387000,326848000,,65633000,5711000,61667000,2186000.0,3966000,104836000,2018-09-30,21982000,459662000,681695000.0,324871000,,222033000,104836000
AAXN,216186000,-1947000,36083000,486966000,309977000,,63143000,8485000,57844000,173000.0,5299000,99226000,2018-06-30,18501000,448842000,642397000.0,311631000,,193555000,99226000
AAXN,15891000,18053000,36754000,258970000,94798000,,64461000,12926000,50878000,34000.0,13583000,101215000,2018-03-31,15119000,199329000,392985000.0,96805000,,193656000,101215000
AAXN,31593000,24341000,31635000,205192000,75105000,,63016000,-2071000,55368000,,7648000,94651000,2017-12-31,15755000,167444000,338112000.0,81967000,,170668000,94651000
AB,,60440000,,,,,,65900000,,-72802000,,,2018-09-30,,1488657000,1489182000.0,,,525000,72802000.0
AB,,72762000,,,,,,58457000,,-65388000,,,2018-06-30,,1534306000,1534935000.0,,,629000,
AB,,80105000,,,,,,58160000,,-65698000,,,2018-03-31,,1560708000,1560834000.0,,,126000,
AB,,47619000,,,,,,78593000,,-85725000,,,2017-12-31,,1543550000,1544704000.0,,,1154000,85725000.0
ABAC,745452,766862,5729692,66946351,61410223,2037280,-21723,-2573130,711773,60464,-733496,5707969,2018-09-30,,87401525,90826298.0,61410223,,3424773,5707969
ABAC,109023,40627,5990615,69200849,62861569,2115123,187939,-418098,623458,95674,-435519,6178554,2018-06-30,,89113668,92651984.0,62861569,,3538316,6178554
ABAC,960133,962653,6059603,72659392,66132282,2228944,1169928,203517,984957,10892,184971,7229531,2018-03-31,,94404682,98236957.0,66132282,,3832275,7229531
ABAC,1189585,1297313,5969011,68633257,62636484,2142573,1341061,626076,728227,-5240,612834,7310072,2017-12-31,,90543596,94060430.0,62636484,,3516834,7310072
ABB,-629000000,565000000,6590000000,21955000000,2604000000,2883000000,2667000000,603000000,1759000000,-86000000,908000000,9257000000,2018-09-30,328000000,14103000000,44652000000.0,3557000000,9502000000,30003000000,9257000000
ABB,-761000000,1010000000,6160000000,22343000000,3283000000,3786000000,2729000000,681000000,1767000000,7000000,962000000,8889000000,2018-06-30,346000000,13626000000,45191000000.0,4077000000,10447000000,31012000000,8889000000
ABB,-427000000,-518000000,5919000000,22311000000,4162000000,2476000000,2708000000,572000000,1813000000,52000000,895000000,8627000000,2018-03-31,353000000,13395000000,43569000000.0,4902000000,7761000000,29625000000,8627000000
ABB,848000000,1869000000,6633000000,21939000000,4526000000,738000000,2647000000,393000000,2141000000,98000000,506000000,9280000000,2017-12-31,397000000,14819000000,43262000000.0,5628000000,7447000000,27913000000,9280000000
ABBV,4477000000,4524000000,1835000000,18465000000,8015000000,4021000000,6401000000,2747000000,3242000000,,3159000000,8236000000,2018-09-30,1323000000,-2921000000,66164000000.0,8785000000,40508000000,69085000000,8236000000
ABBV,-5425000000,2866000000,1934000000,13845000000,3547000000,6530000000,6344000000,1983000000,3582000000,,2762000000,8278000000,2018-06-30,1322000000,-3375000000,61641000000.0,3743000000,37109000000,65016000000,8278000000
ABBV,-311000000,2645000000,1927000000,20444000000,9007000000,6381000000,6007000000,2783000000,3104000000,,2903000000,7934000000,2018-03-31,1313000000,3553000000,69342000000.0,9474000000,37287000000,65789000000,7934000000
ABBV,857000000,2584000000,2279000000,21223000000,9303000000,6415000000,5460000000,52000000,3631000000,,1829000000,7739000000,2017-12-31,1695000000,5097000000,70786000000.0,9789000000,37368000000,65689000000,7739000000
ABC,103588000,665345000,42264495000,25894372000,2492516000,151657000,1032641000,233288000,806801000,77022000,225840000,43297136000,2018-09-30,,2932824000,37669838000.0,2492516000,4310189000,34619877000,43297136000
ABC,297569000,823285000,41930968000,26404401000,2388928000,195592000,1211341000,275809000,783115000,-16142000,428226000,43142309000,2018-06-30,,3097821000,38309592000.0,2388928000,4393704000,35033660000,43142309000
ABC,-946388000,-87568000,39778175000,26397211000,2091359000,252894000,1255683000,287455000,774263000,42328000,481420000,41033858000,2018-03-31,,3187550000,38395732000.0,2091359000,4530395000,35032136000,41033858000
ABC,602632000,10326000,39353680000,25296432000,3037747000,20061000,1112652000,861853000,693679000,23766000,418973000,40466332000,2017-12-31,,2874582000,36361510000.0,3037747000,4286818000,33486928000,40466332000
